[0915/134057.378:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x90c001ce600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/134057.461:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x90c001ce600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/134057.517:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x90c001ce600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/134057.560:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x90c001ce600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0915/134106.037:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x578c001f6600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/134106.107:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x578c001f6600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/134106.151:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x578c001f6600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/134106.192:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x578c001f6600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0915/134304.678:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x4f04001f2600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/134304.749:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x4f04001f2600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/134304.786:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x4f04001f2600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/134304.822:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x4f04001f2600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0915/134437.731:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x51840040a600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/134437.793:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x51840040a600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/134437.832:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x51840040a600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/134437.866:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x51840040a600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0915/142134.806:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x5ea4001f0e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/142134.893:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x5ea4001f0e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/142134.944:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x5ea4001f0e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0915/142134.989:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x5ea4001f0e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0916/002857.599:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x59f4001f4e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/002857.742:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x59f4001f4e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/002857.783:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x59f4001f4e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/002857.822:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x59f4001f4e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0916/002903.686:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x47c4001ece00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/002903.796:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x47c4001ece00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/002903.843:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x47c4001ece00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/002903.881:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x47c4001ece00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0916/002910.601:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1a34001ece00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/002910.710:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1a34001ece00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/002910.757:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1a34001ece00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/002910.795:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1a34001ece00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0916/002917.928:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1c84001f4e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/002918.037:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1c84001f4e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/002918.083:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1c84001f4e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/002918.120:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1c84001f4e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0916/125831.022:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1bdc001ece00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/125831.137:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1bdc001ece00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/125831.178:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1bdc001ece00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0916/125831.217:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x1bdc001ece00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0916/125837.070:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x824001ece00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
